UMAP 1,UMAP 2,Class
-0.13279837,8.8034525,chantelle
4.5560026,7.935146,chantelle
-2.4959457,7.9482055,chantelle
4.4038124,8.669776,chantelle
-4.139673,5.9329743,chantelle
-5.030143,5.6801844,chantelle
-6.593068,6.003504,chantelle
-2.3756094,7.7679076,chantelle
-0.5418433,9.007557,chantelle
-3.789068,6.408339,chantelle
-4.014264,8.769858,chantelle
4.563882,8.69089,chantelle
-3.404721,7.3447433,chantelle
-3.6098049,8.721145,chantelle
-3.14233,8.72106,chantelle
-4.881682,5.3996105,chantelle
4.765674,8.244754,chantelle
-3.517792,8.832371,chantelle
-4.213224,7.730759,chantelle
0.041866835,8.599887,chantelle
-0.10844983,8.37149,chantelle
-3.650905,8.522605,chantelle
4.3922725,7.9226074,chantelle
-1.1322813,8.167452,chantelle
-5.569077,5.1881986,chantelle
-6.192279,6.7603345,chantelle
-4.61511,7.7299094,chantelle
-4.625974,5.446854,chantelle
-3.8262153,8.893818,chantelle
-6.905028,5.7452207,chantelle
-1.7555591,8.593048,chantelle
4.7050486,8.356381,chantelle
-4.4541893,6.3186717,chantelle
-2.560743,7.9362907,chantelle
-3.6132755,7.55147,chantelle
-4.2080073,7.032317,chantelle
3.802872,7.8900146,chantelle
4.6618304,7.83539,chantelle
-5.645698,6.5843525,chantelle
4.6114464,8.43048,chantelle
-5.123618,5.5532575,chantelle
-5.685017,6.5195003,chantelle
-1.0994395,7.8768587,chantelle
-6.7298703,5.483613,chantelle
-2.8129501,9.048451,chantelle
3.468541,8.096378,chantelle
-7.0243607,5.5588427,chantelle
-2.841191,9.193072,chantelle
-3.9067333,7.1845884,chantelle
-6.155286,5.729034,chantelle
-1.5069215,8.211239,chantelle
-1.8579742,8.778251,chantelle
-2.8887496,8.912706,chantelle
-0.08275356,8.925209,chantelle
-3.1603284,8.727042,chantelle
-5.187229,7.1303377,chantelle
-0.66433954,7.4092703,chantelle
-3.4318988,8.469607,chantelle
-4.281325,6.8195305,chantelle
-5.9208393,6.9144464,chantelle
-0.6936838,7.536333,chantelle
-2.5499418,8.167212,chantelle
-2.2578623,7.2373056,chantelle
-5.48677,7.698368,chantelle
4.416787,8.214116,chantelle
-1.5360335,8.010317,chantelle
3.9990513,8.280665,chantelle
4.6385326,8.215771,chantelle
0.40167457,8.575084,chantelle
-2.8388486,9.233053,chantelle
-2.7759824,9.168632,chantelle
-7.3875117,5.94076,chantelle
-1.4557855,8.780537,chantelle
4.464134,8.654026,chantelle
-0.55106753,8.305738,chantelle
4.7845917,8.293287,chantelle
-2.4226925,8.279549,chantelle
-2.8253438,9.03954,chantelle
0.72856754,8.140708,chantelle
3.9721842,7.848653,chantelle
-1.0226445,8.082394,chantelle
-6.4569807,5.9759507,chantelle
-3.9062335,6.356733,chantelle
-2.870559,9.156022,chantelle
-3.213286,7.8062663,chantelle
-0.04790734,8.817954,chantelle
-5.855727,7.085782,chantelle
-3.1061332,8.846955,chantelle
-6.2918797,7.1040235,chantelle
0.12249781,8.895987,chantelle
-3.3808367,7.563139,chantelle
-3.2971876,9.2464285,chantelle
-3.950043,7.6949377,chantelle
-4.8934455,8.264244,chantelle
5.1201205,7.730608,chantelle
4.624,7.889163,chantelle
-0.069973215,8.644273,chantelle
-1.7137806,8.49148,chantelle
-5.770206,5.1273856,chantelle
0.83280194,8.010792,chantelle
-2.2400434,8.872855,chantelle
4.233518,8.503747,chantelle
-4.3431454,8.895755,chantelle
-5.719627,6.5297384,chantelle
4.608139,7.9776173,chantelle
1.2107065,8.446404,chantelle
4.3654413,8.739133,chantelle
-2.5893958,8.207014,chantelle
-6.7409377,6.550638,chantelle
-5.7703743,6.058497,chantelle
0.45632988,8.285006,chantelle
4.6246915,7.9255004,chantelle
-1.1329623,8.716168,chantelle
-2.0627978,8.268308,chantelle
-7.0850854,6.0138044,chantelle
-0.15205881,8.821079,chantelle
-3.304954,8.949467,chantelle
-4.7068963,7.7703996,chantelle
-4.676254,5.215013,chantelle
3.9638913,7.7985253,chantelle
-2.754258,9.149962,chantelle
-3.802685,7.9795613,chantelle
-6.7107897,6.6753902,chantelle
0.21888542,8.519827,chantelle
1.2895107,8.355923,chantelle
0.4701944,8.248732,chantelle
4.3912225,8.166529,chantelle
-2.7954075,9.187064,chantelle
0.7463411,8.589966,chantelle
-2.7581086,9.058646,chantelle
-4.980367,6.092118,chantelle
-4.366418,7.8707666,chantelle
-5.3885107,5.4534726,chantelle
-0.69758785,8.845778,chantelle
4.295602,7.984908,chantelle
-2.925514,9.139733,chantelle
4.190371,8.394758,chantelle
4.5668025,8.623527,chantelle
-6.0831847,5.944705,chantelle
4.4101057,7.866174,chantelle
0.6743227,8.78006,chantelle
4.139766,8.055393,chantelle
-1.905278,7.524244,chantelle
0.7288034,8.19026,chantelle
-5.7603383,7.2323637,chantelle
4.662607,8.425341,chantelle
-3.3612046,8.296708,chantelle
-4.408163,7.822831,chantelle
-3.0437198,9.249184,chantelle
-5.223576,6.055573,chantelle
-6.861895,6.1587377,chantelle
-1.314939,7.876133,chantelle
4.2844305,8.619733,chantelle
-4.02654,8.427268,chantelle
-7.1777215,5.961651,chantelle
-2.0531824,8.834271,chantelle
-5.612728,5.729773,chantelle
-2.5871663,8.414196,chantelle
-4.883604,4.997208,chantelle
-2.734911,8.40087,chantelle
-0.8971118,7.9135528,chantelle
-3.7219858,7.881068,chantelle
0.24819024,8.606211,chantelle
-3.9818015,7.7975545,chantelle
-6.8721313,5.823521,chantelle
-3.8847978,9.006049,chantelle
3.9684832,7.9045467,chantelle
1.2125598,8.515938,chantelle
4.0710554,8.104016,chantelle
4.681868,8.255499,chantelle
4.73293,8.464096,chantelle
-4.370301,6.2566686,chantelle
0.41447964,8.990949,chantelle
4.436981,8.6866045,chantelle
4.522479,8.649395,chantelle
